Date,Goods,Services,Total_Spending, Goods_Change_yoy,Services_Change_yoy,Spending_Change_yoy,Personal_Income,Unemployment ,Cumulative Cases,Cumulative Deaths,New_Cases,New_Deaths
5/1/13,3704.9,7590.2,11295.1,0.023453039,0.027535604,0.026192899,14168.4,0.075,0,0,0,0
6/1/13,3706.5,7612,11318.5,0.032135,0.028815484,0.029900181,14200.8,0.075,0,0,0,0
7/1/13,3728.8,7618,11346.8,0.037218359,0.026435636,0.029954252,14191.1,0.073,0,0,0,0
8/1/13,3726.1,7650.8,11376.9,0.024526382,0.031230203,0.029024964,14240.1,0.072,0,0,0,0
9/1/13,3736.1,7677.8,11413.9,0.019817115,0.031712758,0.027788533,14301.2,0.072,0,0,0,0
10/1/13,3743.7,7721.5,11465.2,0.021306198,0.033405158,0.02942312,14290.7,0.072,0,0,0,0
11/1/13,3765.2,7766.2,11531.4,0.023346832,0.035617607,0.031578759,14357.7,0.069,0,0,0,0
12/1/13,3767,7791.6,11558.6,0.024392897,0.038340063,0.033753086,14425.7,0.067,0,0,0,0
1/1/14,3741.7,7802.1,11543.8,0.002088969,0.038632037,0.026498782,14529.9,0.066,0,0,0,0
2/1/14,3802.8,7812.5,11615.3,0.013863709,0.037323738,0.029524384,14620.1,0.067,0,0,0,0
3/1/14,3824.1,7871.1,11695.2,0.030699154,0.041329858,0.037829779,14725.2,0.067,0,0,0,0
4/1/14,3851,7886.5,11737.5,0.044593935,0.041438325,0.042471557,14800.2,0.062,0,0,0,0
5/1/14,3856,7922.6,11778.6,0.040783827,0.043793312,0.042806173,14872.4,0.063,0,0,0,0
6/1/14,3881.9,7956.1,11838,0.047322272,0.04520494,0.045898308,14951.3,0.061,0,0,0,0
7/1/14,3890.5,7988.8,11879.3,0.043365158,0.048674193,0.046929531,15026.9,0.062,0,0,0,0
8/1/14,3910.3,8048.5,11958.8,0.049435066,0.051981492,0.051147501,15105.5,0.061,0,0,0,0
9/1/14,3893,8071.9,11964.9,0.041995664,0.051329808,0.048274472,15166,0.059,0,0,0,0
10/1/14,3908.8,8126.7,12035.5,0.044100756,0.05247685,0.049741827,15233.2,0.057,0,0,0,0
11/1/14,3908,8150.4,12058.4,0.037926272,0.049470784,0.045701303,15304.9,0.058,0,0,0,0
12/1/14,3887.6,8180,12067.6,0.032014866,0.049848555,0.044036475,15383.1,0.056,0,0,0,0
1/1/15,3839.7,8196.8,12036.5,0.026191303,0.050588944,0.04268092,15444.5,0.057,0,0,0,0
2/1/15,3860,8223.1,12083.1,0.015041548,0.0525568,0.040274466,15525.3,0.055,0,0,0,0
3/1/15,3904,8228.1,12132.1,0.020893805,0.045355795,0.037357206,15523.4,0.054,0,0,0,0
4/1/15,3902.7,8267.5,12170.2,0.013425084,0.048310404,0.03686475,15581.5,0.054,0,0,0,0
5/1/15,3935.8,8297.8,12233.6,0.020695021,0.04735819,0.038629379,15650.7,0.056,0,0,0,0
6/1/15,3943.6,8326.7,12270.3,0.015894279,0.046580611,0.036517993,15687.4,0.053,0,0,0,0
7/1/15,3968.7,8358.8,12327.5,0.020100244,0.046314841,0.037729496,15727.5,0.052,0,0,0,0
8/1/15,3969,8390.3,12359.3,0.015011636,0.042467541,0.033489982,15761.1,0.051,0,0,0,0
9/1/15,3943.6,8412.9,12356.5,0.012997688,0.04224532,0.032729066,15782.3,0.05,0,0,0,0
10/1/15,3920.2,8442.1,12362.3,0.002916496,0.038810341,0.027153006,15822.4,0.05,0,0,0,0
11/1/15,3946.1,8451.4,12397.5,0.009749232,0.036930703,0.028121475,15831,0.051,0,0,0,0
12/1/15,3942.5,8490.3,12432.8,0.014121823,0.037933985,0.030262853,15885.7,0.05,0,0,0,0
1/1/16,3924.1,8527.9,12452,0.021980884,0.040393812,0.034520002,15906.1,0.048,0,0,0,0
2/1/16,3947.4,8579,12526.4,0.022642487,0.043280515,0.036687605,15906.3,0.049,0,0,0,0
3/1/16,3931.8,8575.1,12506.9,0.007120902,0.042172555,0.03089325,15943.3,0.05,0,0,0,0
4/1/16,3960.8,8625.1,12585.9,0.014887129,0.043253704,0.034157204,15974.1,0.051,0,0,0,0
5/1/16,3973.4,8651,12624.4,0.009553331,0.042565499,0.031944808,15993.9,0.048,0,0,0,0
6/1/16,4019.8,8681.9,12701.7,0.019322446,0.042657956,0.035158065,16038.1,0.049,0,0,0,0
7/1/16,4000.2,8720.4,12720.6,0.007937108,0.043259798,0.031888055,16105,0.048,0,0,0,0
8/1/16,4003.3,8746.5,12749.8,0.008641975,0.042453786,0.031595641,16142.6,0.049,0,0,0,0
9/1/16,4021.6,8785.1,12806.7,0.019778882,0.044241581,0.036434265,16207.3,0.05,0,0,0,0
10/1/16,4032.1,8796,12828.1,0.028544462,0.041920849,0.037679073,16264.5,0.049,0,0,0,0
11/1/16,4013.3,8840.3,12853.6,0.017029472,0.046016045,0.036789675,16307.3,0.047,0,0,0,0
12/1/16,4074.4,8888.5,12962.9,0.033455929,0.046900581,0.042637218,16374.1,0.047,0,0,0,0
1/1/17,4089.8,8925.3,13015.1,0.042226243,0.046599984,0.045221651,16485.8,0.047,0,0,0,0
2/1/17,4096.6,8938.1,13034.7,0.037797031,0.041858025,0.040578299,16559.1,0.046,0,0,0,0
3/1/17,4099.8,8989.8,13089.6,0.042728521,0.048360952,0.046590282,16611.2,0.044,0,0,0,0
4/1/17,4125.5,9002.2,13127.7,0.041582509,0.043721232,0.043048173,16666.6,0.045,0,0,0,0
5/1/17,4099.2,9029.5,13128.7,0.031660543,0.043752167,0.039946453,16761.8,0.044,0,0,0,0
6/1/17,4122.8,9054,13176.8,0.025623165,0.042859282,0.037404442,16790.6,0.043,0,0,0,0
7/1/17,4120,9078.2,13198.2,0.029948503,0.041030228,0.037545399,16851.5,0.043,0,0,0,0
8/1/17,4138.7,9102.3,13241,0.033822097,0.040679129,0.038526095,16920,0.044,0,0,0,0
9/1/17,4220.9,9144.3,13365.2,0.04955739,0.040887412,0.043609985,17025.6,0.042,0,0,0,0
10/1/17,4215.7,9179.1,13394.8,0.045534585,0.043553888,0.044176456,17110.8,0.041,0,0,0,0
11/1/17,4271,9224.8,13495.8,0.064211497,0.043493999,0.049962656,17177.4,0.042,0,0,0,0
12/1/17,4302.7,9299.2,13601.9,0.05603279,0.046205772,0.049294525,17241.9,0.041,0,0,0,0
1/1/18,4290.1,9330,13620.1,0.0489755,0.045343014,0.046484468,17340,0.04,0,0,0,0
2/1/18,4305.1,9352.1,13657.2,0.050895865,0.046318569,0.047757141,17406.8,0.041,0,0,0,0
3/1/18,4300.1,9424.9,13725,0.048856042,0.048399297,0.048542354,17471.4,0.04,0,0,0,0
